year;row;raw;from;to;precision;style;status
1919;38;16 апреля;1919-04-16;1919-04-16;day;single;ok
1919;39;21 апреля;1919-04-21;1919-04-21;day;single;ok
1919;40;28 апреля – 20 июня;1919-04-28;1919-06-20;day;single;ok
1919;41;30 апреля;1919-04-30;1919-04-30;day;single;ok
1919;42;7–31 мая;1919-05-07;1919-05-31;day;single;ok
1919;43;13 мая – 26 августа;1919-05-13;1919-08-26;day;single;ok
1919;44;19 мая;1919-05-19;1919-05-19;day;single;ok
1919;45;22 мая;1919-05-22;1919-05-22;day;single;ok
1919;46;Конец мая – июнь;1919-05-21;1919-06-30;decade;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1919;47;25 мая – 20 июня;1919-05-25;1919-06-20;day;single;ok
1919;48;Июнь;1919-06-01;1919-06-30;month;single;ok
1919;49;5 июня;1919-06-05;1919-06-05;day;single;ok
1919;50;6 июня;1919-06-06;1919-06-06;day;single;ok
1919;51;12–18 июня;1919-06-12;1919-06-18;day;single;ok
1919;52;29 июня;1919-06-29;1919-06-29;day;single;ok
1919;53;19–23 июня;1919-06-19;1919-06-23;day;single;порядок: дата раньше предыдущей (неточная дата — так у заказчика)
1919;54;24 июня – 13 июля;1919-06-24;1919-07-13;day;single;ok
1919;55;27 июня – 8 июля;1919-06-27;1919-07-08;day;single;ok
1919;56;30 июня;1919-06-30;1919-06-30;day;single;ok
1919;57;Июль;1919-07-01;1919-07-31;month;single;ok
1919;58;1 июля;1919-07-01;1919-07-01;day;single;ok
1919;59;3 июля;1919-07-03;1919-07-03;day;single;ok
1919;60;17 июля – 4 августа;1919-07-17;1919-08-04;day;single;ok
1919;61;27 июля;1919-07-27;1919-07-27;day;single;ok
1919;62;29 июля;1919-07-29;1919-07-29;day;single;ok
1919;63;30 июля;1919-07-30;1919-07-30;day;single;ok
1919;64;Август;1919-08-01;1919-08-31;month;single;ok
1919;65;6 августа;1919-08-06;1919-08-06;day;single;ok
1919;66;10 августа – 19 сентября;1919-08-10;1919-09-19;day;single;ok
1919;67;11 августа;1919-08-11;1919-08-11;day;single;ok
1919;68;14 августа– 12 сентября;1919-08-14;1919-09-12;day;single;ok
1919;69;14 августа;1919-08-14;1919-08-14;day;single;ok
1919;70;19 августа;1919-08-19;1919-08-19;day;single;ok
1919;71;20 августа;1919-08-20;1919-08-20;day;single;ok
1919;72;23 августа;1919-08-23;1919-08-23;day;single;ok
1919;73;30 августа;1919-08-30;1919-08-30;day;single;ok
1919;74;31 августа;1919-08-31;1919-08-31;day;single;ok
1919;75;5 сентября;1919-09-05;1919-09-05;day;single;ok
1919;76;5 сентября;1919-09-05;1919-09-05;day;single;ok
1919;77;13 сентября;1919-09-13;1919-09-13;day;single;ok
1919;78;13 сентября;1919-09-13;1919-09-13;day;single;ok
1919;79;15 сентября;1919-09-15;1919-09-15;day;single;ok
1919;80;19 сентября;1919-09-19;1919-09-19;day;single;ok
1919;81;20 сентября;1919-09-20;1919-09-20;day;single;ok
1919;82;25 сентября;1919-09-25;1919-09-25;day;single;ok
1919;83;28 сентября;1919-09-28;1919-09-28;day;single;ok
1919;84;1 октября;1919-10-01;1919-10-01;day;single;ok
1919;85;7 октября;1919-10-07;1919-10-07;day;single;ok
1919;86;7–16 октября;1919-10-07;1919-10-16;day;single;ok
1919;87;11 октября;1919-10-11;1919-10-11;day;single;ok
1919;88;14 октября;1919-10-14;1919-10-14;day;single;ok
1919;89;19 октября;1919-10-19;1919-10-19;day;single;ok
1919;90;22 октября;1919-10-22;1919-10-22;day;single;ok
1919;91;25 октября;1919-10-25;1919-10-25;day;single;ok
1919;92;2 ноября;1919-11-02;1919-11-02;day;single;ok
1919;93;3–4 ноября;1919-11-03;1919-11-04;day;single;ok
1919;94;12 ноября;1919-11-12;1919-11-12;day;single;ok
